label,area,centroid-0,centroid-1,equivalent_diameter,bbox_area,convex_area,filled_area,major_axis_length,minor_axis_length,bbox-0,bbox-1,bbox-2,bbox-3,weighted_centroid-0,weighted_centroid-1,coords,eccentricity,euler_number,extent,feret_diameter_max,max_intensity,mean_intensity,min_intensity,orientation,perimeter,solidity,Fluorescence_Intensity,filtered_GMM_stemness
1,2928.0,336.1195355191257,1003.0013661202186,61.05772176379132,3888.0,3117.0,2928.0,75.25258887128744,52.10235392030655,308,969,362,1041,338.50083285046105,1006.357036373472,"[[ 308  997]
 [ 308  998]
 [ 308  999]
 ...
 [ 360 1036]
 [ 361 1034]
 [ 361 1035]]",0.7215462247858554,1,0.7530864197530864,77.25283166331187,0.6508469777792988,0.36603799863337494,0.0932041949611185,1.367167686543375,218.06601717798213,0.9393647738209817,72.14851606012056,0.0
2,4097.0,1143.7817915547962,725.8972418843056,72.22508161836829,5320.0,4160.0,4097.0,76.77096138756443,68.1622062286482,1109,687,1179,763,1141.7482413902417,728.082059134313,"[[1109  730]
 [1109  731]
 [1109  732]
 ...
 [1178  724]
 [1178  725]
 [1178  726]]",0.46010514636629407,1,0.7701127819548872,77.6659513557904,0.5424405410874729,0.32241578751624245,0.08295364063609696,-1.286684489054639,238.79393923933998,0.9848557692307692,50.44773022049287,0.0
3,4783.0,1303.7896717541291,1549.2899853648337,78.03784173379145,6960.0,4874.0,4783.0,100.77959440228831,61.433336458726245,1263,1512,1350,1592,1303.4033968123708,1549.9286149840248,"[[1263 1571]
 [1263 1572]
 [1263 1573]
 ...
 [1349 1530]
 [1349 1531]
 [1349 1532]]",0.7927237079426468,1,0.6872126436781609,105.26157893552613,0.7552631482476514,0.5499027283072463,0.19343228838562748,-0.7489984846189511,274.9360748630709,0.9813295034878949,62.84353398947128,0.0
4,5471.0,650.49680131603,610.0318040577591,83.46192874146915,7584.0,5552.0,5471.0,98.19849948060869,71.28095126216336,612,563,691,659,649.8603761008696,610.9085531817271,"[[612 606]
 [612 607]
 [612 608]
 ...
 [690 622]
 [690 623]
 [690 624]]",0.6878146506124534,1,0.7213871308016878,99.36800289831733,0.5504193810331348,0.35782030419094685,0.147641233499819,1.1521113809340782,281.56349186104046,0.9854106628242075,154.9075761043717,1.0
5,4215.0,343.0742586002373,1239.2168446026096,73.2577960428698,6448.0,4398.0,4215.0,100.10518428400192,54.77063571615945,312,1192,374,1296,344.7215868471838,1239.6832016710212,"[[ 312 1226]
 [ 312 1227]
 [ 312 1228]
 ...
 [ 373 1249]
 [ 373 1250]
 [ 373 1251]]",0.8370470837494968,1,0.6536910669975186,104.47966309287182,0.7701278665016174,0.5741221978637707,0.16174268182788326,1.4270783893180492,269.4213562373095,0.9583901773533424,17.530113679713132,0.0
6,4871.0,1709.1792239786491,1882.5662081708067,78.75245915147651,7592.0,5245.0,4871.0,100.91020160075944,64.18029979209024,1661,1847,1765,1920,1707.4828419953353,1881.1699556687934,"[[1661 1885]
 [1661 1886]
 [1661 1887]
 ...
 [1763 1878]
 [1763 1879]
 [1764 1878]]",0.771677527557691,1,0.6415964172813488,105.54619841567009,0.4029185394083158,0.2566601477957467,0.024602132159902538,0.09420555936946287,288.73506473629425,0.9286939942802669,47.69054703593499,0.0
7,2997.0,771.8732065398732,233.51685018351685,61.77296265819928,3840.0,3051.0,2997.0,64.95184195107034,58.885711250950045,742,203,802,267,772.2732596640402,233.94670082626112,"[[742 224]
 [742 225]
 [742 226]
 ...
 [801 243]
 [801 244]
 [801 245]]",0.4219787597351352,1,0.78046875,66.03786792439622,0.2506390093572898,0.1507006991238422,0.018305358781511606,1.036474596419743,202.99494936611666,0.9823008849557522,81.54950789654383,0.0
8,7460.0,733.2981233243968,1922.6376675603217,97.45956599392547,13167.0,7766.0,7460.0,149.45803705329388,65.01325429020784,667,1873,800,1972,735.8486032241881,1921.1878927246858,"[[ 667 1904]
 [ 667 1905]
 [ 667 1906]
 ...
 [ 799 1945]
 [ 799 1946]
 [ 799 1947]]",0.9004336585325061,1,0.5665679349889876,141.79210133149166,0.711093870512081,0.48958957578765194,0.014364798312950598,0.5026256131255283,371.5462479183374,0.9605974761782127,71.0849011978332,0.0
9,5079.0,1546.771214806064,428.1744437881473,80.41631456184679,7347.0,5200.0,5079.0,90.9198547380248,74.45199994676442,1510,378,1589,471,1546.8756812298052,429.03125338942,"[[1510  440]
 [1510  441]
 [1510  442]
 ...
 [1588  446]
 [1588  447]
 [1588  448]]",0.5739718321981546,1,0.6913025724785626,94.36630754670864,0.3892145343582577,0.2678319003908895,0.10114212746552849,1.4430444723668163,280.2497833620557,0.9767307692307692,110.91607537956817,1.0
10,2436.0,1551.0632183908046,1641.7672413793102,55.692113723352755,3640.0,2525.0,2436.0,66.2791666222573,48.352700711997606,1527,1612,1583,1677,1552.6674098195656,1642.4086648903437,"[[1527 1639]
 [1527 1640]
 [1527 1641]
 ...
 [1582 1631]
 [1582 1632]
 [1582 1633]]",0.6839478430191201,1,0.6692307692307692,66.94027188471824,0.5412958315258972,0.35941781342290086,0.12131375996661103,-1.0990976567006383,192.8944443027283,0.9647524752475247,130.1614099336233,1.0
