label,area,centroid-0,centroid-1,equivalent_diameter,bbox_area,convex_area,filled_area,major_axis_length,minor_axis_length,bbox-0,bbox-1,bbox-2,bbox-3,weighted_centroid-0,weighted_centroid-1,coords,eccentricity,euler_number,extent,feret_diameter_max,max_intensity,mean_intensity,min_intensity,orientation,perimeter,solidity,Fluorescence_Intensity,distance_to_center,in_spheroid,filtered_GMM_stemness,filtered_in_spheroid_GMM_stemness,tails_cut_GMM_stemness,tails_cut_in_spheroid_GMM_stemness
1,3204.0,1662.6410736579276,607.8158551810237,63.87064663310887,4347.0,3259.0,3204.0,68.78623751926906,59.820722935735574,1631,577,1700,640,1661.7020873912638,607.8968848111077,"[[1631  605]
 [1631  606]
 [1631  607]
 ...
 [1699  602]
 [1699  603]
 [1699  604]]",0.49364903537554744,1,0.7370600414078675,71.47027354082255,0.32599727831683817,0.26493215378779844,0.016023441996991863,-0.3442509553013193,211.9655121145938,0.9831236575636698,24.534187838559546,864.7757809010366,True,0.0,0.0,0.0,0.0
2,5083.0,1189.10407239819,636.6350580365926,80.44797452943631,7020.0,5173.0,5083.0,95.23222035247107,68.44835337533848,1146,598,1236,676,1191.4942953929058,637.5882754696086,"[[1146  620]
 [1146  621]
 [1146  622]
 ...
 [1235  647]
 [1235  648]
 [1235  649]]",0.6952664914105033,1,0.7240740740740741,97.94896630388705,0.5043184410055251,0.3781000579288053,0.0853992288915655,0.5449176753228088,274.5929291125633,0.982601971776532,63.74436560616464,586.9305371319829,True,0.0,0.0,0.0,0.0
3,3300.0,1452.3239393939393,1065.4363636363637,64.82044814428573,4453.0,3371.0,3300.0,70.71511289136386,59.675363657694646,1416,1036,1489,1097,1452.695086825272,1065.307440966516,"[[1416 1058]
 [1416 1059]
 [1416 1060]
 ...
 [1488 1070]
 [1488 1071]
 [1488 1072]]",0.5365254179605722,1,0.7410734336402426,75.18643494673756,0.5892412663970834,0.46076529066931676,0.1895864326267114,0.1866777360448002,217.1370849898476,0.9789380005932957,42.06106660563057,439.1171040020647,True,0.0,0.0,0.0,0.0
4,5203.0,1471.0862963674804,1512.9769363828561,81.3920472236511,7216.0,5275.0,5203.0,91.61403376626153,72.756360752724,1430,1468,1512,1556,1472.0449126693295,1511.494040174487,"[[1430 1522]
 [1430 1523]
 [1431 1518]
 ...
 [1511 1514]
 [1511 1515]
 [1511 1516]]",0.6077064469944097,1,0.7210365853658537,93.40770846134703,0.6307622534572808,0.4946732209106177,0.1432377511504632,-0.9723774435376693,271.56349186104046,0.9863507109004739,77.67138933394371,534.7225593704877,True,1.0,1.0,1.0,1.0
5,4578.0,1466.8811708169505,652.2885539536916,76.3471717603054,6231.0,4672.0,4578.0,91.330322509402,64.44302132367896,1419,618,1512,685,1466.6076579750643,651.6079411820165,"[[1419  654]
 [1420  649]
 [1420  650]
 ...
 [1511  661]
 [1511  662]
 [1511  663]]",0.7086065886109403,1,0.7347135291285508,93.7709976485267,0.3499290736956088,0.270634727067344,0.06704148499047977,0.0809017999686984,261.5218613006978,0.9798801369863014,51.53031967650873,699.7058711573567,True,0.0,0.0,0.0,0.0
6,4440.0,939.8301801801802,844.4619369369369,75.18765575960008,7776.0,4626.0,4440.0,113.95865340040204,50.74362510556607,901,797,982,893,940.8128101527984,844.3065475824399,"[[901 824]
 [901 825]
 [901 826]
 ...
 [981 881]
 [981 882]
 [981 883]]",0.8953908731475428,1,0.5709876543209876,111.51681487560519,0.4649739286542761,0.36343749632448513,0.07592387399546285,0.944063644054951,280.2914139223983,0.959792477302205,70.48298619058517,371.10084256184587,True,0.0,0.0,0.0,0.0
7,6638.0,496.15607110575473,1705.7452545947574,91.93347648137761,11040.0,6927.0,6638.0,136.22358542697006,64.02306519776884,454,1644,546,1764,497.55405017674195,1706.5831004196434,"[[ 454 1670]
 [ 454 1671]
 [ 454 1672]
 ...
 [ 545 1750]
 [ 545 1751]
 [ 545 1752]]",0.8826743104363323,1,0.601268115942029,134.23859355639868,0.4410307642279472,0.2901762009594617,0.01716955544038804,1.035992683388268,341.50461735799473,0.9582791973437275,39.632394903486684,737.1560325259948,True,0.0,0.0,0.0,0.0
8,1988.0,1072.8445674044265,1657.5699195171026,50.31103472334378,2860.0,2054.0,1988.0,58.05209481663345,45.67914279312614,1045,1634,1097,1689,1071.9596566414805,1657.663956544672,"[[1045 1646]
 [1045 1647]
 [1045 1648]
 ...
 [1096 1653]
 [1096 1654]
 [1096 1655]]",0.617125579830219,1,0.6951048951048951,59.90826320300064,0.4719894712059855,0.344097946823255,0.13493964940006464,0.9127384545801884,173.09545442950497,0.9678675754625121,38.766109712367445,456.05156584707004,True,0.0,0.0,0.0,0.0
9,3739.0,1529.98315057502,601.1944370152447,68.99741051492276,4968.0,3805.0,3739.0,76.76197941127852,63.060264818040295,1497,563,1566,635,1530.625763014148,601.6417800319623,"[[1497  599]
 [1497  600]
 [1497  601]
 ...
 [1565  614]
 [1565  615]
 [1565  616]]",0.5702029077304501,1,0.7526167471819646,79.25906888173743,0.20750236821681967,0.13875892888995855,0.054542345864193625,0.9083740630837761,231.7228714274745,0.9826544021024967,18.433340962844284,779.0550525731522,True,0.0,0.0,0.0,0.0
10,5070.0,1306.117554240631,1548.5956607495068,80.34503402082343,7470.0,5162.0,5070.0,101.06344462949288,64.720424519813,1267,1504,1350,1594,1307.3021234687285,1548.755593339204,"[[1267 1567]
 [1267 1568]
 [1267 1569]
 ...
 [1348 1537]
 [1349 1531]
 [1349 1532]]",0.7680465562717792,1,0.678714859437751,99.6393496566492,0.5858261273826469,0.4681002967188118,0.13342938440409685,-0.9633601836489482,278.73506473629425,0.9821774506005424,122.77678339818416,438.99572183069495,True,1.0,1.0,1.0,1.0
