label,area,centroid-0,centroid-1,equivalent_diameter,bbox_area,convex_area,filled_area,major_axis_length,minor_axis_length,bbox-0,bbox-1,bbox-2,bbox-3,weighted_centroid-0,weighted_centroid-1,coords,eccentricity,euler_number,extent,feret_diameter_max,max_intensity,mean_intensity,min_intensity,orientation,perimeter,solidity,Fluorescence_Intensity,filtered_GMM_stemness
1,4921.0,1443.6006909164803,1694.1450924608819,79.15561761266055,7326.0,5060.0,4921.0,93.19498341948956,68.85692325054835,1391,1656,1490,1730,1445.676387845969,1694.637917995852,"[[1391 1692]
 [1391 1693]
 [1391 1694]
 ...
 [1488 1703]
 [1489 1695]
 [1489 1696]]",0.673872164496909,1,0.6717171717171717,99.40824915468535,0.3598785363243197,0.23953209736355116,0.0744562911458942,0.06410278355891476,274.048773235279,0.9725296442687748,0.5666895551995117,0.0
2,2026.0,1124.0399802566633,1513.0434353405726,50.78959851813597,2652.0,2063.0,2026.0,52.50522571938603,49.31901914640988,1098,1489,1150,1540,1123.277421000859,1512.7883469545354,"[[1098 1509]
 [1098 1510]
 [1098 1511]
 ...
 [1149 1509]
 [1149 1510]
 [1149 1511]]",0.343052061735176,1,0.7639517345399698,54.120236510939236,0.47090651962828006,0.36756282474730056,0.06846265404172146,-0.7148454329067094,166.2670273047588,0.9820649539505575,1.88905165178912,0.0
3,3359.0,1612.309913664781,1332.4992557308724,65.39733657241258,4440.0,3426.0,3359.0,73.00534968198114,59.23353700623596,1582,1295,1642,1369,1610.6748623873962,1334.3587846023036,"[[1582 1330]
 [1582 1331]
 [1582 1332]
 ...
 [1641 1334]
 [1641 1335]
 [1641 1336]]",0.5845483783644231,1,0.7565315315315315,76.24303246854758,0.5353414813618046,0.28428829775412284,0.08206521625156467,1.3333322641330196,220.65180361560903,0.9804436660828955,18.2489356832227,1.0
4,4604.0,1380.5336663770634,991.0775412684623,76.56366542924059,6364.0,4678.0,4604.0,87.78902788049038,67.28010522730949,1339,956,1425,1030,1381.1830792282717,991.3392325789956,"[[1339  981]
 [1339  982]
 [1339  983]
 ...
 [1424  992]
 [1424  993]
 [1424  994]]",0.642382739514706,1,0.7234443746071653,88.02272433866155,0.35390991167810687,0.27567101538245636,0.0672599139821612,0.4234072337800771,257.4213562373095,0.9841812740487388,3.140459296559091,0.0
5,3932.0,1483.042472024415,1755.5376398779247,70.75576223812914,5698.0,4013.0,3932.0,82.44840532223438,62.87111085179849,1444,1718,1518,1795,1483.4884009617112,1755.1085921087583,"[[1444 1765]
 [1444 1766]
 [1444 1767]
 ...
 [1517 1735]
 [1517 1736]
 [1517 1737]]",0.6469281484683594,1,0.6900666900666901,84.90583018850944,0.44193543664312473,0.3685432077842246,0.13560683835284823,-0.9482384765884175,245.86500705120545,0.9798155993022676,69.36334782940413,1.0
6,5154.0,1273.7524253007373,1656.7056655025224,81.00787994735468,6399.0,5230.0,5154.0,81.7062492676101,80.43696541833106,1235,1618,1316,1697,1272.0831890753527,1657.0870257583008,"[[1235 1648]
 [1235 1649]
 [1235 1650]
 ...
 [1315 1658]
 [1315 1659]
 [1315 1660]]",0.17557937225200307,1,0.8054383497421472,84.11896337925236,0.586068349559794,0.4896740425160265,0.12093711845318636,-0.3297179354336102,266.79393923934,0.9854684512428298,3.005065995269703,0.0
7,4919.0,778.0878227281968,1413.01585688148,79.13953070717734,6279.0,4994.0,4919.0,90.75070282857101,69.67609806184888,742,1367,811,1458,776.1428167570783,1414.4397953127443,"[[ 742 1410]
 [ 742 1411]
 [ 742 1412]
 ...
 [ 810 1423]
 [ 810 1424]
 [ 810 1425]]",0.6407198570380889,1,0.7834050007963052,91.6624241442479,0.2941117313984956,0.19445754312607447,0.06087454867745098,-1.4607310876577198,266.79393923934,0.9849819783740489,2.0720073243305106,0.0
8,6072.0,1822.2870553359685,1408.2371541501977,87.92673379372117,7656.0,6155.0,6072.0,89.3339317048048,86.72555901846589,1778,1364,1865,1452,1822.3408929101706,1407.397497193881,"[[1778 1407]
 [1778 1408]
 [1778 1409]
 ...
 [1864 1409]
 [1864 1410]
 [1864 1411]]",0.23988223926653876,1,0.7931034482758621,91.60785992479029,0.2760703794204934,0.20042078993629653,0.07517240703724302,-0.9318504367286637,290.35028842544403,0.986515028432169,3.449988555733577,0.0
9,6991.0,1528.4643112573308,1293.6760120154484,94.34626467032768,9130.0,7078.0,6991.0,108.0711711271386,82.58331935377987,1487,1238,1570,1348,1530.8053475272395,1294.2903438011308,"[[1487 1289]
 [1487 1290]
 [1487 1291]
 ...
 [1569 1304]
 [1569 1305]
 [1569 1306]]",0.645030540676791,1,0.7657174151150055,111.46299834474219,0.42560156912485003,0.31086128040610334,0.04651094562948116,1.4899865952124254,316.3919189857867,0.9877083922011868,2.7778439002059967,0.0
10,4323.0,1367.556557945871,1609.790654637983,74.19039393270606,5913.0,4397.0,4323.0,84.91247786725302,65.02378468436527,1330,1569,1403,1650,1367.0814169111457,1608.6626235539966,"[[1330 1616]
 [1331 1612]
 [1331 1613]
 ...
 [1402 1595]
 [1402 1596]
 [1402 1597]]",0.6431095372166429,1,0.7311009639776763,85.0,0.2799349709626261,0.176610804270086,0.0598720970899022,-0.9882670010249349,248.35028842544403,0.9831703434159654,1.1215228503852903,0.0
